noise_scenario,mode,criterion,family,mean_noisy_target_probability,mean_noisy_leakage_probability,worst_noisy_target_probability,worst_noisy_leakage_probability
mode_only,readout,selective,gaussian,0.3312562611117229,0.6684916202031439,0.10225467694247502,0.8976997191503446
mode_only,readout,unselective,square,0.9244123482548456,0.07230045856726723,0.8787342577432274,0.11816354366283632
mode_only,storage,selective,gaussian,0.9922527976779768,0.0017624912394774035,0.9910352322044039,0.0030151386204811097
mode_only,storage,unselective,square,0.9954214840829856,7.31338790729465e-05,0.9953618652588854,0.00012113044913245746
transmon_reference,readout,selective,gaussian,0.3224029037933918,0.6757213105123924,0.09952173831962534,0.899929986163427
transmon_reference,readout,unselective,square,0.9230038199449004,0.07338476713618952,0.8773955083978014,0.11919422953192829
transmon_reference,storage,selective,gaussian,0.9607530203163931,0.028340951947691706,0.9565487615598808,0.03212662511713649
transmon_reference,storage,unselective,square,0.9939107284603802,0.0012373550560846292,0.9938512883153704,0.0012852721023192144
transmon_reference_x0.5,readout,selective,gaussian,0.31380747049569363,0.6828222784492102,0.0968683778764153,0.902120567778979
transmon_reference_x0.5,readout,unselective,square,0.9215978114445592,0.07446790696898155,0.8760591485641324,0.12022380450468802
transmon_reference_x0.5,storage,selective,gaussian,0.9303753929882767,0.05430109879876432,0.9233829632026544,0.06050841061461687
transmon_reference_x0.5,storage,unselective,square,0.9924025773141043,0.002400325696007797,0.992343398765309,0.0024481633730301204
transmon_reference_x2.0,readout,selective,gaussian,0.3267970852782449,0.6721226034250168,0.10087813451525847,0.898819816043191
transmon_reference_x2.0,readout,unselective,square,0.923707768746613,0.07284275897890034,0.8780645838559205,0.11867902549274158
transmon_reference_x2.0,storage,selective,gaussian,0.9763618263101842,0.015129277901937355,0.9736294546901311,0.01766243743903837
transmon_reference_x2.0,storage,unselective,square,0.9946657658143424,0.0006554008197440399,0.9946062385903627,0.0007033576131183234
