candidate_label,role,evaluation_level,symbolic_reference,n_cav,n_tr,process_fidelity,average_probe_fidelity,average_probe_leakage,noisy_average_probe_fidelity,noisy_average_probe_leakage,max_transient_photon,wigner_target_overlap,entangling_gate_count,entangling_time_ns,runtime_total_duration_ns,implementation_complexity,weighted_cost
R1_exact_runtime_to_exact_runtime,one_wait_replay_surrogate,runtime,N1_exact_hc_to_exact_hc,10,3,0.22339993341676728,0.21196952110260145,0.02859915526821233,,,1.032281940130948,0.5120276710719072,1,176.00000000000003,2856.000000000001,7.35,3.109999710800572
R1_exact_runtime_to_exact_runtime,one_wait_replay_surrogate,runtime,N1_exact_hc_to_exact_hc,12,3,0.2234012222217367,0.21196958700072135,0.028603065070561134,0.048006241284792785,0.7746217399277379,1.0324507046781708,0.512031115478368,1,176.00000000000003,2856.000000000001,7.35,3.1099990880918074
R1_exact_runtime_to_exact_runtime,one_wait_replay_surrogate,runtime,N1_exact_hc_to_exact_hc,14,3,0.22339868738628524,0.21196828825823455,0.028605952930842744,,,1.0324291773383096,0.5120296870981487,1,176.00000000000003,2856.000000000001,7.35,3.110005601692851
R2_exact_runtime_to_exact_runtime,two_wait_replay_exact_surrogate,runtime,N2_exact_hc_to_exact_hc,10,3,0.9026872840345332,0.8349480674667958,0.04318474262182426,,,1.031363020509032,0.9638317895065731,2,352.00000000000006,4432.000000000001,7.6,2.896217803241846
R2_exact_runtime_to_exact_runtime,two_wait_replay_exact_surrogate,runtime,N2_exact_hc_to_exact_hc,12,3,0.9026929270622418,0.8349526191490545,0.04317691162402235,0.6144833666744246,0.7178266031363219,1.0316706244035805,0.9638353440757689,2,352.00000000000006,4432.000000000001,7.6,2.8962026016875275
R2_exact_runtime_to_exact_runtime,two_wait_replay_exact_surrogate,runtime,N2_exact_hc_to_exact_hc,14,3,0.9026852565638137,0.8349428212083718,0.043188893932821514,,,1.0316901290934533,0.9638396632207128,2,352.00000000000006,4432.000000000001,7.6,2.896223933838783
R2_A_runtime_to_A_runtime,two_wait_replay_archive_surrogate,runtime,N2_A_local_to_A_local,10,3,0.9015363750202007,0.8122331890683364,0.04720507009146339,,,1.0000000000000002,0.9812481970423719,2,352.00000000000006,4432.000000000001,9.35,3.288029785005331
R2_A_runtime_to_A_runtime,two_wait_replay_archive_surrogate,runtime,N2_A_local_to_A_local,12,3,0.9015409083663316,0.8121948942556153,0.047254869788012056,0.5804169492873673,0.7399332100534979,1.0,0.9814172155341938,2,352.00000000000006,4432.000000000001,9.35,3.2880456181613433
R2_A_runtime_to_A_runtime,two_wait_replay_archive_surrogate,runtime,N2_A_local_to_A_local,14,3,0.9015129586467584,0.8121648028488577,0.04727394640167339,,,1.0000000000000002,0.9814172577992566,2,352.00000000000006,4432.000000000001,9.35,3.28811105590732
R2_B_local_replay,two_wait_direct_replay_archive_candidate,runtime,N2_B_local_to_B_local,10,3,0.1666517336740982,0.18729179603112797,0.14323076520356565,,,1.6520132171143687,0.25974331866930134,8,6952.0,7912.0,52.5,21.475811915253587
R2_B_local_replay,two_wait_direct_replay_archive_candidate,runtime,N2_B_local_to_B_local,12,3,0.16665042877903272,0.18728995560553882,0.14323596035167432,0.04884525575287874,0.8215377961587595,1.6520128414664224,0.2597422620343216,8,6952.0,7912.0,52.5,21.475817122617773
R2_B_local_replay,two_wait_direct_replay_archive_candidate,runtime,N2_B_local_to_B_local,14,3,0.16665063567146046,0.1872895448221239,0.1432372285184604,,,1.6520126955478704,0.25974001719426737,8,6952.0,7912.0,52.5,21.475817342916308
